,user_id_str,POS tagged,Subjectivity,Polarity,TextBlob
22,1256115929923981317,"[('guru', 'n'), ('wafat', 'n'), ('dalam', 'n'), ('pekan', 'n'), ('akibat', 'n'), ('covid', 'n'), ('lainnya', 'n'), ('masih', 'n'), ('dalam', 'n'), ('perawatan', 'n'), ('sementara', 'n'), ('sudah', 'n'), ('sembuh', 'n'), ('padahal', 'n'), ('belajar', 'n'), ('mengajar', 'n'), ('di', 'n'), ('sma', 'n'), ('tsb', 'n'), ('masih', 'n'), ('daring', None), ('tapi', 'a'), ('guru', 'n'), ('dan', 'n'), ('karyawan', 'n'), ('sudah', 'n'), ('harus', 'n'), ('kerja', 'n'), ('dari', 'n'), ('sekolah', 'n'), ('ngeri', 'a'), ('bayangin', 'n'), ('apa', 'n'), ('jadinya', 'n'), ('kalau', 'n'), ('sudah', 'n'), ('tatap', 'n'), ('muka', 'n')]",0.0,0.0,Neutral
23,1341375947073671169,"[('peran', 'n'), ('dpr', 'n'), ('pushpin', 'n'), ('jika', 'n'), ('orang', 'n'), ('tua', 'n'), ('murid', 'a'), ('belum', 'n'), ('mau', 'n'), ('anak', 'n'), ('nya', 'a'), ('mengikuti', 'n'), ('ptm', 'n'), ('terbatas', 'n'), ('maka', None), ('sekolah', 'a'), ('harus', 'n'), ('menyiapkan', 'n'), ('hybrid', 'a'), ('ada', 'n'), ('yg', 'n'), ('belajar', 'n'), ('di', 'n'), ('sekolah', 'n'), ('ada', 'n'), ('yg', 'n'), ('daring', None), ('semoga', 'n'), ('covid', 'n'), ('segera', 'n'), ('teratasi', 'n'), ('dan', 'n'), ('aktivitas', 'n'), ('berjalan', None), ('normal', 'a'), ('dan', 'n'), ('anak', 'n'), ('dapat', 'n'), ('kembali', None), ('belajar', 'n'), ('di', 'n'), ('sekolah', 'n'), ('dpruntuknegeri', 'n')]",0.6499999999999999,0.15,Positive
24,721965701771173888,"[('aktifitas', 'n'), ('yang', None), ('dibatasi', None), ('selama', 'a'), ('ppkm', 'n'), ('kegiatan', 'n'), ('belajar', 'n'), ('mengajar', 'n'), ('masih', 'n'), ('dilakukan', 'n'), ('dengan', 'n'), ('daring', None), ('kegiatan', 'a'), ('pada', 'n'), ('sektor', 'n'), ('esensial', 'a'), ('tetap', 'n'), ('dibuka', 'n'), ('selama', 'n'), ('penerapan', 'n'), ('ppkm', 'n'), ('mikro', 'n'), ('disiplin', 'n'), ('cegah', 'n'), ('covid', 'n'), ('ayodukungppkm', 'n')]",0.0,0.0,Neutral
25,1181736701170896896,"[('selasa', 'n'), ('wib', 'n'), ('melalui', 'n'), ('kegiatan', None), ('hotspot', 'n'), ('wifi', 'n'), ('gratis', 'n'), ('satpolairresta', 'n'), ('tangerang', 'n'), ('memberikan', 'n'), ('ruang', 'n'), ('ramah', 'n'), ('pendidikan', 'n'), ('anak', 'n'), ('anak', 'n'), ('nelayan', 'a'), ('yang', 'n'), ('belajar', 'n'), ('daring', None), ('selama', 'a'), ('pandemi', 'n'), ('covid', 'n')]",0.0,0.0,Neutral
26,172223518,"[('subsidi', 'n'), ('kuota', 'n'), ('internet', 'n'), ('gratis', 'n'), ('ini', 'n'), ('bertujuan', 'n'), ('untuk', 'a'), ('menunjang', 'n'), ('proses', 'n'), ('belajar', None), ('dan', 'a'), ('mengajar', 'n'), ('daring', None), ('selama', 'a'), ('pandemi', 'n'), ('covid', 'n'), ('kuota', None), ('internet', 'n'), ('dari', 'n'), ('bantuan', 'a'), ('dikbud', 'n'), ('ini', 'n'), ('diberikan', 'n'), ('kepada', 'n'), ('para', 'n'), ('pelajar', 'n'), ('dan', 'n'), ('tenaga', 'n'), ('pengajar', 'n'), ('hingga', 'n'), ('desember', 'n'), ('kuotabuatbelajar', 'n')]",0.0,0.0,Neutral
27,1475629933779034115,"[('instruksi', 'n'), ('gubernur', 'n'), ('siswa', 'n'), ('terpapar', 'n'), ('covid', 'n'), ('belajar', 'n'), ('daring', None)]",0.0,0.0,Neutral
28,804246011837190145,"[('diy', 'n'), ('dinilai', 'n'), ('telah', 'n'), ('berhasil', 'n'), ('menghadapi', 'n'), ('tantangan', 'a'), ('belajar', 'n'), ('daring', None), ('selama', 'a'), ('pandemi', 'n'), ('covid', 'n'), ('salah', 'n'), ('satu', 'n'), ('yang', 'n'), ('turut', 'n'), ('berperan', 'n'), ('membantu', 'n'), ('keberhasilan', 'n'), ('adalah', None), ('aplikasi', 'a'), ('jogja', 'n'), ('belajar', 'n'), ('yang', 'n'), ('dikembangkan', 'n'), ('sejak', 'n'), ('bersama', 'n'), ('kyoto', 'n'), ('university', 'n'), ('jepang', 'n')]",0.0,0.0,Neutral
29,2287065198,"[('fungsi', 'a'), ('dan', 'n'), ('peran', 'n'), ('guru', 'n'), ('di', 'n'), ('tengah', 'n'), ('pandemi', 'n'), ('covid', 'n'), ('dengan', 'n'), ('belajar', None), ('daring', None)]",0.0,0.0,Neutral
30,23786106,"[('covid', 'n'), ('belum', 'n'), ('usai', 'a'), ('kembali', 'n'), ('belajar', 'n'), ('dengan', 'n'), ('daring', None)]",0.0,0.0,Neutral
31,2345026652,"[('page', 'n'), ('dua', 'n'), ('puluh', 'n'), ('hari', 'n'), ('telah', 'n'), ('berlalu', 'n'), ('jika', None), ('di', None), ('aku', None), ('memulai', None), ('tahun', 'n'), ('menghitung', 'n'), ('keambisan', None), ('karena', None), ('diperlakukan', None), ('tidak', 'n'), ('adil', None), ('ada', 'a'), ('sedikit', 'n'), ('rasa', 'n'), ('malas', 'n'), ('juga', None), ('saat', 'a'), ('itu', 'n'), ('namun', 'n'), ('berakhir', 'n'), ('mengejar', 'n'), ('ketertinggalan', 'n'), ('dengan', 'a'), ('epik', 'a'), ('merasakan', 'n'), ('libur', 'n'), ('covid', 'n'), ('belajar', 'n'), ('daring', None), ('dan', 'a'), ('join', 'n'), ('webinar', 'n')]",0.0,0.0,Neutral
