,full_text,user_id_str,image_url,location
52,soalnya nambah jadi 20 soal  terus susah lagii. ltmpt gk tau yaa kami ini angkatan covid yg belajar aja daring gimana bisa masukkk. seharusnya ltmpt ngasih soal yg mudah mudah aja donggg😭😭😭😭😭,1446299486800605189,,Swiss
53,Angka Covid-19 masih Tinggi  Jateng tetap Berlakukan Belajar Daring  https://t.co/YzZ03Uabbv,68930552,,Jakarta - Indonesia
54,Pandemi COVID-19 membuat sekolah tutup dan memberlakukan belajar daring atau online. Situasi itu dimanfaatkan pelajar di Ciamis dengan membuat sebuah film pendek inspiratif tentang dinamika siswa menghadapi belajar daring. #FilmPendek https://t.co/4PWWPjpGAg,69183155,,"Jakarta, Indonesia"
55,Sejumlah Siswa SMAN 1 Denpasar Terpapar COVID-19  Belajar Daring dan Tracing Dilakukan https://t.co/UbkQVMd1QN via @balipostcom,529186497,,"Denpasar, Bali"
56,@tubirfess Msh covid dan belajar daring tapi mereka malah kegiatan ormawa aja udah aneh.,1265280706919280641,,
57,@itbjeongwoo Sebagai peserta kelasnya  mnrt gw ga efektif karna modanya aja.  1) Kelas zoom skala besar dengan topik berat tu emg terbukti ga efektif. Belajar dari pengalaman pembelajaran daring masa covid 2) ga ada engagement yg meaningful dengan audiens. Ga ada checking understanding,1487668505583718403,,
58,Bupati Malang Sanusi meminta pembelajaran tatap muka (PTM) berhenti jika ada wilayah kecamatan mengalami lonjakan kasus penularan Covid. Sekolah harus beralih menggelar kegiatan belajar secara daring. https://t.co/01EpAxr4w9,153407983,https://pbs.twimg.com/media/FLkbQ7QagAMG4eA.jpg,Indonesia
59,@IM3Ooredoo @KuntoAjiW @rahasiabulan Di tahun 2020 karena adanya musibah covid  mau belajar daring/virtual susah karena adanya masalah kuota ataupun jaringan yg bermasalah  tapi yaa ada sisi positifnya juga karna aku bisa menemukan hobi baru dan cara belajar yg unik. So  stay enjoy deh yaw #Temukan2021mu,1245776886912839680,,
60,@FiersaBesari @AREAJULID dari covid kita belajar daring,1303224025296957441,,
61,Pandemi COVID-19 mengubah metode belajar menjadi daring. Banyak siswa merasa kesulitan  terutama yang gak memiliki smartphone.  Komunitas @WLM_official berinisiatif menggalang dana untuk bantu memberikan ponsel pintar ke pelajar di seluruh Indonesia.  https://t.co/gQAQKPQdu0,862600351,,Indonesia
62,@sireonghwa Karena covid selain belajar daring  ngemis juga ikutan daring🙃,1381523346618155015,,
63,12.13: Proses belajar mengajar tatap muka siswa SMPN 10 Padang  Sumatera Barat ditiadakan setelah dua orang guru di sekolah tersebut terkonfirmasi positif Covid-19. Kegiatan belajar dilaksanakan secara daring. (Mut) #ElshintaTetapMenyala #HUT21thElshinta https://t.co/kvAE9lSQCt,121640063,https://pbs.twimg.com/media/EuUtZReVEAAgrq5.jpg,
64,gua takut banget covid ini mulai naik lagi ke permukaan terus ini bentar lagi libur nataru  gua takut banget yaallah tolong jangan yaallah (traumatized by belajar daring),1355896791296745475,,ua²³
65,@tanyakanrl 1  20an pas covid gabisa bgt belajar daring,1262222973056016385,,
66,@ayamjaeprekk petualangan  sekolah  covid  belajar daring  nasionalisme gituu boleh pilih salah satu,1288286542276919296,,( she / her )         05L
67,@joktugfess Aku bisaa! Pernah buat berita tentag mudik  covid  belajar daring  samapai kemarin yg korupsi bansos 👋🏻. Start 20k yuk,1288098924532600832,,
68,@collegemenfess 2020 masuk SMA covid menyebar alhasil belajar daring yg sgt awikwok bgt  terus pas 2023 UTBK sistemnya berubah jg hehehhe,1676035902462894081,,
69,@mbahndi Kudunya yang covid silakan belajar daring. Sisanya masuk kelas seperti biasa.,81234890,,promo and discount universe
